mode,task_id,episode,initial_state_id,environment_step,selected_horizon,execution_horizon,wall_ms,policy_ms,server_ms,predictor_ms,batched_teacher_ms,harp_residual_ms,harp_gripper_event_ms,selector_json
ordered_midchunk_masked,4,343,343,205,20,20,121.70036602765322,108.46152016893029,119.7836478240788,6.13965280354023,nan,nan,nan,"{""raw_horizon"":20,""budget_limited"":0.0,""selector_policy"":""ordered_midchunk_masked"",""ordered_horizon_probability"":[0.12490725517272949,0.11985588818788528,0.14758914709091187,0.3167111277580261,0.2909366190433502],""ordered_continuation_logits"":[1.9467583894729614,1.8407412767410278,1.4151628017425537,-0.08488467335700989],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":20,""episode_progress"":0.205,""budget_fraction"":0.5,""midchunk_checked"":false,""replanned_early"":false,""nominal_horizon"":20,""midchunk_check_after"":null,""midchunk_check_schedule"":""gripper_event""}"
ordered_midchunk_masked,4,343,343,225,20,20,123.22540581226349,110.80235708504915,121.4815704151988,6.1255269683897495,nan,nan,nan,"{""raw_horizon"":20,""budget_limited"":0.0,""selector_policy"":""ordered_midchunk_masked"",""ordered_horizon_probability"":[0.12576815485954285,0.12475711107254028,0.15971128642559052,0.37567198276519775,0.2140914648771286],""ordered_continuation_logits"":[1.9389054775238037,1.793003797531128,1.3063536882400513,-0.5623131394386292],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":20,""episode_progress"":0.225,""budget_fraction"":0.5,""midchunk_checked"":true,""replanned_early"":false,""nominal_horizon"":20,""midchunk_check_after"":5,""midchunk_check_schedule"":""gripper_event"",""midchunk_environment_step"":230,""midchunk_monitor_ms"":0.1916983164846897,""midchunk_monitor"":{""replan_gain"":-0.2214881330728531,""threshold"":0.027104230597615242,""replan"":false,""variant"":""masked""}}"
ordered_midchunk_masked,4,343,343,245,25,25,124.19412098824978,111.87247280031443,122.30734899640083,8.159420918673277,nan,nan,nan,"{""raw_horizon"":25,""budget_limited"":0.0,""selector_policy"":""ordered_midchunk_masked"",""ordered_horizon_probability"":[0.11698418855667114,0.09556582570075989,0.14798836410045624,0.2906934320926666,0.3487681746482849],""ordered_continuation_logits"":[2.021304130554199,2.1089844703674316,1.4634929895401,0.18213820457458496],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":20,""episode_progress"":0.245,""budget_fraction"":0.5,""midchunk_checked"":true,""replanned_early"":false,""nominal_horizon"":25,""midchunk_check_after"":5,""midchunk_check_schedule"":""gripper_event"",""midchunk_environment_step"":250,""midchunk_monitor_ms"":0.20339526236057281,""midchunk_monitor"":{""replan_gain"":-0.2868940532207489,""threshold"":0.027104230597615242,""replan"":false,""variant"":""masked""}}"
ordered_midchunk_masked,4,343,343,270,20,20,123.74750804156065,111.40964133664966,121.95204710587859,6.342459935694933,nan,nan,nan,"{""raw_horizon"":20,""budget_limited"":0.0,""selector_policy"":""ordered_midchunk_masked"",""ordered_horizon_probability"":[0.1002802699804306,0.10948850214481354,0.11682287603616714,0.38918817043304443,0.28422024846076965],""ordered_continuation_logits"":[2.1941144466400146,1.976506233215332,1.7516930103302002,-0.31431344151496887],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":25,""episode_progress"":0.27,""budget_fraction"":0.5,""midchunk_checked"":false,""replanned_early"":false,""nominal_horizon"":20,""midchunk_check_after"":null,""midchunk_check_schedule"":""gripper_event""}"
ordered_midchunk_masked,4,343,343,290,20,4,121.72197364270687,109.56885712221265,119.99262310564518,6.263095885515213,nan,nan,nan,"{""raw_horizon"":20,""budget_limited"":0.0,""selector_policy"":""ordered_midchunk_masked"",""ordered_horizon_probability"":[0.0953979343175888,0.11290189623832703,0.1227765753865242,0.3816455602645874,0.2872779965400696],""ordered_continuation_logits"":[2.2494382858276367,1.9476635456085205,1.6953035593032837,-0.284042090177536],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":20,""episode_progress"":0.29,""budget_fraction"":0.5,""midchunk_checked"":false,""replanned_early"":false,""nominal_horizon"":20,""midchunk_check_after"":15,""midchunk_check_schedule"":""gripper_event""}"
ordered_transformer,4,343,343,10,25,25,123.3094772323966,110.04499858245254,121.22243596240878,6.299756001681089,nan,nan,nan,"{""raw_horizon"":25,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.17164088785648346,0.14141754806041718,0.16926458477973938,0.2354915738105774,0.282185435295105],""ordered_continuation_logits"":[1.5740423202514648,1.5805323123931885,1.1178884506225586,0.18088944256305695],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":10,""episode_progress"":0.01,""budget_fraction"":0.5}"
ordered_transformer,4,343,343,35,15,15,124.57540724426508,111.78064392879605,122.72315379232168,7.52336997538805,nan,nan,nan,"{""raw_horizon"":15,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.12894736230373383,0.19478009641170502,0.2893708646297455,0.22610744833946228,0.1607942134141922],""ordered_continuation_logits"":[1.9102981090545654,1.2447248697280884,0.2904614508152008,-0.3408849239349365],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":25,""episode_progress"":0.035,""budget_fraction"":0.5}"
ordered_transformer,4,343,343,50,25,25,120.76036306098104,108.59037283807993,119.015799369663,6.309115793555975,nan,nan,nan,"{""raw_horizon"":25,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.12461358308792114,0.09735278785228729,0.19754736125469208,0.22114446759223938,0.3593418598175049],""ordered_continuation_logits"":[1.9494476318359375,2.078428268432617,1.0778878927230835,0.48545798659324646],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":15,""episode_progress"":0.05,""budget_fraction"":0.5}"
ordered_transformer,4,343,343,75,15,15,125.34418283030391,112.29990376159549,123.30104410648346,8.375202305614948,nan,nan,nan,"{""raw_horizon"":15,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.2586071193218231,0.16224995255470276,0.3933177590370178,0.12262535840272903,0.06319992244243622],""ordered_continuation_logits"":[1.0532208681106567,1.272411584854126,-0.7498109936714172,-0.6628307104110718],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":25,""episode_progress"":0.075,""budget_fraction"":0.5}"
ordered_transformer,4,343,343,90,20,20,124.44744491949677,111.07037728652358,122.65594862401485,6.250482983887196,nan,nan,nan,"{""raw_horizon"":20,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.08604758232831955,0.1407570242881775,0.27668464183807373,0.27738016843795776,0.21913054585456848],""ordered_continuation_logits"":[2.3628780841827393,1.7034966945648193,0.5847266316413879,-0.23572123050689697],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":15,""episode_progress"":0.09,""budget_fraction"":0.5}"
ordered_transformer,4,343,343,110,15,15,121.73062097281218,109.53409317880869,120.0962201692164,6.279259920120239,nan,nan,nan,"{""raw_horizon"":15,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.1407173126935959,0.12580065429210663,0.3857230842113495,0.206220343708992,0.1415386199951172],""ordered_continuation_logits"":[1.809345006942749,1.7631046772003174,-0.10361010581254959,-0.37637272477149963],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":20,""episode_progress"":0.11,""budget_fraction"":0.5}"
ordered_transformer,4,343,343,125,25,25,121.50401482358575,109.44313183426857,119.7113310918212,6.3017248176038265,nan,nan,nan,"{""raw_horizon"":25,""budget_limited"":0.0,""selector_policy"":""ordered_transformer"",""ordered_horizon_probability"":[0.09764643013477325,0.06492281705141068,0.26782697439193726,0.19030246138572693,0.3793012797832489],""ordered_continuation_logits"":[2.2236533164978027,2.5571393966674805,0.7545998096466064,0.6897161602973938],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":15,""episode_progress"":0.125,""budget_fraction"":0.5}"
