mode,task_suite,task_id,task_name,episode,initial_state_id,success,timeout,steps,policy_calls,sampled_action_chunks,avg_h,h_distribution_json,actual_wall_total_ms,policy_rpc_wall_total_ms,actual_episode_elapsed_total_ms,actual_policy_total_ms,actual_server_total_ms,actual_predictor_total_ms,actual_batched_teacher_total_ms,actual_contextual_fusion_total_ms,contextual_fusion_translation_disagreement_mean,contextual_fusion_rotation_disagreement_mean,contextual_fusion_gripper_conflict_rate,contextual_fusion_expert_gate_rate,contextual_fusion_phase_expert_rate,actual_harp_residual_total_ms,actual_harp_gripper_event_total_ms
ordered_midchunk_masked,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,337,337,1,0,260,20,20,12.5,"{""5"": 9, ""10"": 1, ""15"": 3, ""20"": 5, ""25"": 2}",2473.7852248363197,2473.7852248363197,12567.497175186872,2233.2702428102493,2436.8642256595194,121.96576874703169,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,337,337,1,0,260,20,20,13.0,"{""5"": 8, ""10"": 1, ""15"": 3, ""20"": 7, ""25"": 1}",2375.628828536719,2375.628828536719,12404.627223033458,2133.2380501553416,2339.7434670478106,121.84019153937697,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,338,338,1,0,251,23,23,11.08695652173913,"{""5"": 13, ""15"": 3, ""20"": 6, ""25"": 1}",2741.927350871265,2741.927350871265,12845.553839113563,2467.556551564485,2701.119227334857,140.15804463997483,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_midchunk_masked,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,338,338,1,0,251,23,23,10.478260869565217,"{""5"": 13, ""6"": 1, ""15"": 3, ""20"": 5, ""25"": 1}",2687.185026705265,2687.185026705265,12845.175744965672,2427.6259834878147,2647.6933951489627,130.35063352435827,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_midchunk_masked,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,339,339,1,0,257,22,22,11.227272727272727,"{""2"": 1, ""5"": 11, ""15"": 4, ""20"": 4, ""25"": 2}",2656.5248551778495,2656.5248551778495,12925.702788867056,2387.4648991040885,2617.5985247828066,132.21174804493785,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,339,339,1,0,257,22,22,12.045454545454545,"{""5"": 11, ""15"": 4, ""20"": 5, ""25"": 2}",2611.295575276017,2611.295575276017,12819.838643074036,2345.0663946568966,2573.616918642074,133.09542927891016,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,340,340,1,0,246,16,16,15.3125,"{""5"": 5, ""15"": 3, ""20"": 5, ""25"": 3}",1935.538372490555,1935.538372490555,11742.113288026303,1737.5198220834136,1905.8768185786903,97.82561520114541,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_midchunk_masked,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,340,340,1,0,246,16,16,14.75,"{""5"": 5, ""11"": 1, ""15"": 3, ""20"": 4, ""25"": 3}",1949.832602404058,1949.832602404058,11786.98790166527,1752.7829930186272,1920.4996535554528,102.87683177739382,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_midchunk_masked,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,341,341,1,0,259,21,21,11.857142857142858,"{""5"": 10, ""10"": 1, ""14"": 1, ""15"": 4, ""20"": 2, ""25"": 3}",2509.7058904357255,2509.7058904357255,12675.352700054646,2256.572827231139,2473.577211610973,130.69498352706432,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,341,341,1,0,248,18,18,13.61111111111111,"{""5"": 7, ""15"": 4, ""20"": 5, ""25"": 2}",2175.6633487530053,2175.6633487530053,12024.040915071964,1956.644678954035,2144.6738159283996,112.09894577041268,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,342,342,1,0,247,20,20,12.75,"{""5"": 9, ""15"": 4, ""20"": 5, ""25"": 2}",2385.3245992213488,2385.3245992213488,12189.74745599553,2148.2484419830143,2351.457254961133,121.93570332601666,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_midchunk_masked,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,342,342,1,0,245,18,18,13.055555555555555,"{""5"": 6, ""10"": 2, ""15"": 4, ""20"": 5, ""25"": 1}",2170.168642885983,2170.168642885983,11993.188021238893,1952.1332397125661,2138.2528585381806,110.76697148382664,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_midchunk_masked,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,343,343,1,0,246,19,19,12.421052631578947,"{""1"": 1, ""5"": 7, ""10"": 1, ""15"": 4, ""20"": 4, ""25"": 2}",2323.599341791123,2323.599341791123,12290.131285786629,2087.9512899555266,2288.615660276264,118.97463770583272,nan,nan,nan,nan,nan,nan,nan,nan,nan
