mode,task_suite,task_id,task_name,episode,initial_state_id,success,timeout,steps,policy_calls,sampled_action_chunks,avg_h,h_distribution_json,actual_wall_total_ms,policy_rpc_wall_total_ms,actual_episode_elapsed_total_ms,actual_policy_total_ms,actual_server_total_ms,actual_predictor_total_ms,actual_batched_teacher_total_ms,actual_contextual_fusion_total_ms,contextual_fusion_translation_disagreement_mean,contextual_fusion_rotation_disagreement_mean,contextual_fusion_gripper_conflict_rate,contextual_fusion_expert_gate_rate,contextual_fusion_phase_expert_rate,actual_harp_residual_total_ms,actual_harp_gripper_event_total_ms
ordered_feedback_current,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,337,337,1,0,257,20,20,12.5,"{""5"": 10, ""15"": 3, ""20"": 4, ""25"": 3}",2378.581582568586,2378.581582568586,12545.283483341336,2143.3769087307155,2344.560627359897,121.95217469707131,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,337,337,1,0,260,20,20,13.0,"{""5"": 8, ""10"": 1, ""15"": 3, ""20"": 7, ""25"": 1}",2409.8371216095984,2409.8371216095984,12526.904221158475,2163.87407341972,2371.590972878039,121.41613196581602,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,338,338,1,0,251,23,23,11.08695652173913,"{""5"": 13, ""15"": 3, ""20"": 6, ""25"": 1}",2809.711668174714,2809.711668174714,12873.715074267238,2531.1026754789054,2767.949956469238,145.85301093757153,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,338,338,1,0,253,19,19,13.421052631578947,"{""5"": 8, ""15"": 3, ""20"": 6, ""25"": 2}",2314.4768667407334,2314.4768667407334,12338.764852378517,2084.6139048226178,2281.018705572933,118.72474662959576,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,339,339,1,0,248,20,20,12.0,"{""5"": 10, ""15"": 4, ""20"": 4, ""25"": 2}",2417.5473074428737,2417.5473074428737,12488.57481079176,2176.9150835461915,2382.762369234115,124.69639256596565,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,339,339,1,0,257,22,22,12.045454545454545,"{""5"": 11, ""15"": 4, ""20"": 5, ""25"": 2}",2661.526278126985,2661.526278126985,12937.440593726933,2386.7228450253606,2621.1364599876106,135.01582155004144,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,340,340,1,0,246,16,16,15.3125,"{""5"": 5, ""15"": 3, ""20"": 5, ""25"": 3}",1963.830147869885,1963.830147869885,11924.773413222283,1763.9594599604607,1933.1717672757804,99.75811233744025,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,340,340,1,0,246,20,20,12.5,"{""5"": 10, ""15"": 2, ""20"": 6, ""25"": 2}",2390.619826503098,2390.619826503098,12445.371637120843,2161.089661065489,2354.646906722337,124.41905727609992,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,341,341,1,0,247,17,17,14.411764705882353,"{""5"": 6, ""15"": 3, ""20"": 6, ""25"": 2}",2007.8309057280421,2007.8309057280421,12096.537795849144,1814.4021229818463,1977.9824023135006,99.70678482204676,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,341,341,1,0,248,18,18,13.61111111111111,"{""5"": 7, ""15"": 4, ""20"": 5, ""25"": 2}",2153.3566447906196,2153.3566447906196,12140.219585038722,1931.5173490904272,2120.9792788140476,110.56443769484758,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,342,342,1,0,247,20,20,12.75,"{""5"": 9, ""15"": 4, ""20"": 5, ""25"": 2}",2393.0172696709633,2393.0172696709633,12326.506291981786,2149.3470524437726,2357.1790540590882,121.88939144834876,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,342,342,1,0,247,19,19,12.631578947368421,"{""5"": 9, ""15"": 4, ""20"": 3, ""25"": 3}",2300.435903016478,2300.435903016478,12187.730960082263,2065.4478492215276,2264.4905908964574,119.19929599389434,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,343,343,1,0,246,16,16,15.3125,"{""5"": 5, ""15"": 3, ""20"": 5, ""25"": 3}",1931.5893207676709,1931.5893207676709,11888.451627921313,1737.5568225979805,1903.0462056398392,98.75467326492071,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,343,343,1,0,248,19,19,13.421052631578947,"{""5"": 8, ""15"": 4, ""20"": 4, ""25"": 3}",2289.9637930095196,2289.9637930095196,12316.123736090958,2059.764290228486,2256.0526407323778,115.40376022458076,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,344,344,1,0,401,30,30,13.166666666666666,"{""5"": 10, ""15"": 13, ""20"": 5, ""25"": 2}",3562.6873411238194,3562.6873411238194,16181.202882900834,3206.5244163386524,3511.398870497942,184.90183306857944,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,344,344,1,0,254,22,22,11.363636363636363,"{""5"": 13, ""15"": 2, ""20"": 4, ""25"": 3}",2657.1448687464,2657.1448687464,12761.253477074206,2379.4220997951925,2615.5478106811643,140.40452847257257,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,345,345,1,0,242,17,17,14.705882352941176,"{""5"": 6, ""15"": 3, ""20"": 5, ""25"": 3}",2070.272520184517,2070.272520184517,12066.6968440637,1860.9970919787884,2038.3529653772712,106.95273708552122,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,345,345,1,0,245,19,19,13.157894736842104,"{""5"": 8, ""15"": 3, ""20"": 7, ""25"": 1}",2297.8453999385238,2297.8453999385238,12353.242325596511,2069.1545717418194,2261.2040764652193,119.04215766116977,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,336,336,0,1,1000,47,47,21.06382978723404,"{""15"": 1, ""20"": 35, ""25"": 11}",5705.42514231056,5705.42514231056,19160.66759126261,5123.648267239332,5621.356816031039,294.3923599086702,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,336,336,0,1,1000,47,47,21.06382978723404,"{""10"": 1, ""20"": 34, ""25"": 12}",5695.808169897646,5695.808169897646,19083.320654928684,5125.806075055152,5612.14025458321,293.5102442279458,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,337,337,1,0,260,11,11,24.09090909090909,"{""20"": 2, ""25"": 9}",1338.6761518195271,1338.6761518195271,6946.307005826384,1200.5727370269597,1318.3440105058253,68.83478071540594,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,337,337,1,0,260,11,11,24.09090909090909,"{""20"": 2, ""25"": 9}",1359.064965043217,1359.064965043217,6987.203188706189,1220.8984741009772,1338.559222407639,71.22798264026642,nan,nan,nan,nan,nan,nan,nan,nan,nan
